时间,成交价,成交量,委买ID,委买价,委买量,委卖ID,委卖价,委卖量,
092500,3.08,-100,1,3.18,100,1,3.06,700,
092500,3.08,600,2,3.11,25000,1,3.06,700,
092500,3.08,24400,2,3.11,25000,3,3.07,35100,
092500,3.08,4000,4,3.10,4000,3,3.07,35100,
092500,3.08,6000,5,3.08,6000,3,3.07,35100,
092500,3.08,700,6,3.08,15000,3,3.07,35100,
092500,3.08,10000,6,3.08,15000,7,3.08,10000,
093000,3.09,1300,8,3.09,1300,8,3.09,8000,
093000,3.09,6700,9,3.09,17300,8,3.09,8000,
093000,3.09,6500,9,3.09,17300,10,3.09,6500,
093000,3.09,-4100,9,3.09,17300,11,3.08,10000,
093000,3.08,-4300,6,3.08,15000,11,3.08,10000,
093000,3.08,-1600,13,3.08,14600,11,3.08,10000,
093000,3.10,2000,14,3.12,2000,14,3.10,2000,
093000,3.08,-3000,13,3.08,14600,15,3.08,3000,
093000,3.10,2000,16,3.15,50000,16,3.10,2000,
093000,3.10,2000,16,3.15,50000,17,3.10,2000,
093000,3.11,3500,16,3.15,50000,18,3.11,3500,
093000,3.11,5000,16,3.15,50000,19,3.11,5000,
093000,3.12,8100,16,3.15,50000,20,3.12,8100,
093000,3.12,4200,16,3.15,50000,21,3.12,4200,
093000,3.12,1000,16,3.15,50000,22,3.12,1000,
093000,3.14,500,16,3.15,50000,23,3.14,500,
093000,3.14,5000,16,3.15,50000,24,3.14,5000,
093000,3.15,500,16,3.15,50000,25,3.15,500,
093000,3.15,400,16,3.15,50000,26,3.15,400,
093000,3.15,4000,16,3.15,50000,27,3.15,4000,
093000,3.15,-500,16,3.15,50000,28,3.09,500,
093000,3.15,-3200,16,3.15,50000,29,3.15,3200,
093001,3.15,-600,16,3.15,50000,30,3.15,600,
093001,3.16,2000,31,3.38,2000,31,3.16,3000,
093001,3.15,-4600,16,3.15,50000,32,3.11,4600,
093001,3.15,-2700,16,3.15,50000,33,3.09,2700,
093001,3.15,-700,16,3.15,50000,34,3.05,700,
093002,3.15,-1500,16,3.15,50000,35,3.08,10900,
093002,3.14,-9400,36,3.14,126500,35,3.08,10900,
093004,3.14,-7000,36,3.14,126500,37,3.09,7000,
093004,3.14,-3400,36,3.14,126500,38,3.09,3400,
093004,3.14,-3100,36,3.14,126500,39,3.09,3100,
093006,3.14,-3000,36,3.14,126500,40,3.14,3000,
093007,3.14,-3000,36,3.14,126500,41,3.12,3000,
093008,3.15,13300,42,3.21,15500,42,3.15,13300,
093008,3.15,2000,42,3.21,15500,43,3.15,2000,
093008,3.15,200,42,3.21,15500,44,3.15,200,
093008,3.14,-1000,36,3.14,126500,45,3.07,1000,
093012,3.14,-2200,36,3.14,126500,46,3.08,2200,
093012,3.14,-2600,36,3.14,126500,47,3.08,2600,
093012,3.16,1000,48,3.16,3000,31,3.16,3000,
093012,3.16,1100,48,3.16,3000,49,3.16,1100,
093012,3.16,900,48,3.16,3000,50,3.16,4500,
